Threat ID	Asset Name	Description	Threat	Threat description	Protection Goal	Attacker / Skill-Level	Rationale	Test Objective
STR-T-001	Firmware Image	COM and SCPU application firmware content and version, including update packages installed via IoT Core	Tampering	An attacker modifies firmware content in transit or at rest before or after installation.	Integrity	Cybersecurity Expert / Expert	SRIO-7915 documents firmware installation and version tracking (swrevision) without a described in-transit/at-rest integrity check.	Inject modified firmware content and verify integrity validation prevents installation or execution.
STR-T-002	Bootloader	COM and SCPU bootloader code responsible for controlled startup and firmware acceptance	Tampering	An attacker modifies bootloader code via the documented per-controller debug/flashing interface.	Integrity	Cybersecurity Expert / Expert	SRIO-1374 documents a debug and firmware-flashing interface for each controller; no bootloader integrity-verification mechanism is documented.	Attempt bootloader modification via the debug/flashing interface and verify rejection or detection.
STR-T-003	F-Address	Configured own PROFIsafe safety address (F_Dest_Add) set via rotary switches, used for safety communication identity binding	Tampering	A person changes rotary switch values or the engineering-side F-Address configuration to alter the safety address without authorization.	Integrity, Authenticity	Local Attacker / Medium	The rotary switch function and its mapping to the own safe address (F_Dest_Add) are explicitly specified (SRIO-2013, 209 F-Parameter table).	Change the configured F-Address without authorization and verify detection, controlled acceptance rules, and diagnostics.
STR-T-004	PROFIsafe Safety Parameters	CRC-protected safety parameter set (F_WD_Time, F_Source_Add, F_iParCRC, F_ParCRC, and safety iParameters such as Filter Time, Symmetry, Discrepancy Time, Switch-off Delay)	Tampering	An attacker modifies F_WD_Time, F_Source_Add, F_iParCRC/F_ParCRC, or associated safety iParameters.	Integrity, Availability	Cybersecurity Expert / Expert	The F-Parameter record and iParameter tables (209 table 6; 100 Sec. 8.3/8.4; SRIO-19971) define these as changeable, CRC-protected values.	Inject modified parameter/iParameter values and verify CRC/consistency validation and rejection before activation.
STR-T-005	F-DI Process Data	Safety digital input process values exchanged via PROFIsafe/PROFINET	Tampering	An attacker modifies safety input values in transit before they reach the controller.	Integrity	Network Attacker / High	F-DI channels and their PROFIsafe transport are explicitly documented (100 Sec. 8.3, 209 Sec. 6.2.3).	Inject modified F-DI values and verify detection/rejection before unsafe processing.
STR-T-006	F-DO Process Data	Safety digital output command values exchanged via PROFIsafe/PROFINET	Tampering	An attacker modifies safety output commands before they reach the device.	Integrity	Network Attacker / High	F-DO channels and output parameterization are explicitly documented (100 Sec. 8.4, 209 Sec. 6.2.4).	Inject modified F-DO commands and verify detection/rejection before unsafe actuation.
STR-T-007	Qualifier Data	RIOforFA channel qualifier bits bound to F-DI/F-DO process values	Tampering	An attacker desynchronizes the RIOforFA Qualifier from its associated Value, breaking the required Value/Qualifier consistency.	Integrity	Cybersecurity Expert / Expert	SRIO-3028 explicitly requires that "the Qualifier shall be synchronous and consistent with the Value" for RIOforFA channels.	Manipulate qualifier bits independent of the associated value and verify consistency enforcement or detection.
STR-T-008	Device Network Configuration	PROFINET communication identity and network configuration (NameOfStation, IP suite, default gateway)	Tampering	An attacker modifies NameOfStation or IP parameters using unauthorized DCP parameter writes.	Integrity, Availability	Network Attacker / Medium	DCP parameter setting is documented and directly affects communication identity and reachability (SRIO-3029).	Issue unauthorized DCP writes and verify integrity protection, change authorization, and diagnosable rejection.
STR-T-009	Device Tag	User-assigned application tag (devicetag/applicationtag) used for asset identification	Tampering	An attacker modifies the application tag without authorization, misleading asset tracking or maintenance processes.	Integrity	Network Attacker / Medium	The devicetag/applicationtag element is documented as a read-write IoT element (SRIO-2955).	Attempt unauthorized devicetag modification and verify access-control enforcement.
STR-T-010	Error Log Data	Device error log content (ErrorEvents and Uptime) accessible via IoT Core	Tampering	An attacker alters or clears logged error events to hide malicious activity or a fault condition.	Integrity, Accountability	Authenticated or Local Attacker / Medium	Error log content and SysCom timeout events are documented as logged and IoT-readable (SRIO-10662, SRIO-15221, 209 line ~358).	Attempt unauthorized log modification/deletion and verify tamper evidence and retention behavior.
STR-T-011	Device Status Data	Operational status and diagnostic telemetry (operating state, temperature, voltage, current, rotary switch reading)	Tampering	An attacker falsifies reported operating state or diagnostic telemetry to mask a fault or unsafe condition.	Integrity	Cybersecurity Expert / Expert	The devicestatus tree explicitly defines operatingstate, temperature, voltage, and current fields (SRIO-2950).	Attempt to manipulate reported status values and verify integrity protection or detection.
STR-T-012	I&M Data	PROFINET Identification & Maintenance records (I&M0-I&M4), including I&M4 safety CRC linkage	Tampering	An attacker modifies I&M4 data, which carries the F_iParCRC and F_ParCRC values, undermining safety-parameter integrity verification.	Integrity	Cybersecurity Expert / Expert	The COM specification explicitly states I&M4 Data is a string containing F_iParCRC and F_ParCRC values (209, I&M4 description).	Modify I&M4 content and verify cross-validation against the actual F-Parameter CRC values.
STR-T-013	Remanent/Persistent Data	Configuration, identity, and state data persisted in EEPROM and restored at startup	Tampering	An attacker modifies remanent data stored in EEPROM without authorization, altering restored configuration, identity, or state.	Integrity	Cybersecurity Expert / Expert	The IO-Delegator retrieves remanent (persistent) data stored in EEPROM during startup (209 Sec. 2.3.4.3-2.3.4.4).	Attempt unauthorized persistent-data modification and verify detection, rejection, and safe startup behavior.
STR-T-014	GSDML File	Device description file (GSDML) used for PROFINET engineering integration, including F_ParamDescCRC	Tampering	An attacker modifies GSDML content (module IDs, F_ParamDescCRC) causing incorrect engineering-time safety parameter validation.	Integrity	Attacker / Medium	Module/submodule IDs and the F_ParamDescCRC attribute are explicitly specified (SRIO-2973, SRIO-2975, SRIO-7758).	Modify GSDML fields and verify the engineering tool detects a mismatch against device-reported values.
STR-R-001	Firmware Image	COM and SCPU application firmware content and version, including update packages installed via IoT Core	Repudiation	A user denies having triggered or approved a firmware installation.	Accountability, Non-Repudiation	Authenticated User / Medium	Firmware installation over IoT Core and the FW_UPDATE state are documented (SRIO-7915, 100 line 1552-1553) without a described per-action attribution record.	Perform a firmware update and verify an attributable, timestamped audit trail for the initiating action.
STR-R-002	F-Address	Configured own PROFIsafe safety address (F_Dest_Add) set via rotary switches, used for safety communication identity binding	Repudiation	A technician denies having changed the configured safety address.	Accountability, Non-Repudiation	Service Personnel / Medium	F-Address configuration via rotary switches is a documented safety-relevant action (SRIO-2013) with no described attribution logging.	Change the configured F-Address and verify an attributable record of who performed the change and when.
STR-R-003	PROFIsafe Safety Parameters	CRC-protected safety parameter set (F_WD_Time, F_Source_Add, F_iParCRC, F_ParCRC, and safety iParameters such as Filter Time, Symmetry, Discrepancy Time, Switch-off Delay)	Repudiation	An engineering user denies having modified safety parameters.	Accountability, Non-Repudiation	Authenticated User / Medium	The F-Parameter/iParameter set is documented as user-changeable via an engineering tool (209 table 6) without described per-change attribution.	Change a safety parameter and verify an attributable, timestamped audit trail for the change.
STR-R-004	Device Network Configuration	PROFINET communication identity and network configuration (NameOfStation, IP suite, default gateway)	Repudiation	A user denies having changed the IP address or NameOfStation configuration.	Accountability, Non-Repudiation	Authenticated User / Medium	DCP-based parameter changes by an IO-Controller/Engineering System are documented (SRIO-3029) without described per-action attribution.	Change network configuration and verify an attributable record of the responsible actor.
STR-R-005	Error Log Data	Device error log content (ErrorEvents and Uptime) accessible via IoT Core	Repudiation	A user denies having cleared or altered logged error events.	Accountability, Non-Repudiation	Authenticated User / Medium	Error log content is documented as service-accessible via IoT (SRIO-10662, SRIO-15221) without a described tamper-evidence/attribution guarantee for log-management actions.	Clear or alter log entries and verify an attributable, tamper-evident record of the management action itself.
STR-I-001	Firmware Image	COM and SCPU application firmware content and version, including update packages installed via IoT Core	Information Disclosure	An unauthorized party reads the exact firmware version to identify exploitable, version-specific vulnerabilities.	Confidentiality	Network Attacker / Low	The swrevision field is explicitly documented as an IoT-readable deviceinfo element (SRIO-2946).	Attempt unauthorized readout of firmware version data and verify access control and data minimization.
STR-I-002	Bootloader	COM and SCPU bootloader code responsible for controlled startup and firmware acceptance	Information Disclosure	An unauthorized party reads bootloader version information to target known bootloader weaknesses.	Confidentiality	Network Attacker / Low	The cpubootloaderversion and scpubootloaderversion fields are explicitly documented IoT-readable elements (209 deviceinfo/swinfo table).	Attempt unauthorized readout of bootloader version data and verify access control.
STR-I-003	F-Address	Configured own PROFIsafe safety address (F_Dest_Add) set via rotary switches, used for safety communication identity binding	Information Disclosure	An unauthorized party reads the configured rotary-switch/F-Address value to plan a duplicate-address attack.	Confidentiality	Network Attacker / Medium	The rotary_switch value is explicitly documented as an IoT-readable devicestatus element (SRIO-2950).	Attempt unauthorized readout of the rotary switch/F-Address value and verify access restriction.
STR-I-004	PROFIsafe Safety Parameters	CRC-protected safety parameter set (F_WD_Time, F_Source_Add, F_iParCRC, F_ParCRC, and safety iParameters such as Filter Time, Symmetry, Discrepancy Time, Switch-off Delay)	Information Disclosure	An attacker obtains safety parameter values and valid CRC ranges via the engineering channel/GSDML to craft a plausible malicious parameter set.	Confidentiality	Attacker / Medium	F-Parameter and iParameter value ranges and CRC fields are explicitly specified in the GSD/engineering documentation (209 table 6).	Attempt unauthorized access to safety parameter values and verify access restriction and data minimization.
STR-I-005	F-DI Process Data	Safety digital input process values (and associated Qualifier bits) exchanged via PROFIsafe/PROFINET	Information Disclosure	An attacker passively captures fieldbus traffic to learn live input states and associated qualifier information.	Confidentiality	Network Attacker / Medium	F-DI channels and RIOforFA Value/Qualifier mapping are explicitly documented (100 Sec. 8.3, SRIO-3028).	Sniff fieldbus traffic from an unauthorized vantage point and verify confidentiality controls or compensating protections.
STR-I-006	F-DO Process Data	Safety digital output command values (and associated Qualifier bits) exchanged via PROFIsafe/PROFINET	Information Disclosure	An attacker passively captures fieldbus traffic to learn output actuation states and associated qualifier information.	Confidentiality	Network Attacker / Medium	F-DO channels and RIOforFA Value/Qualifier mapping are explicitly documented (100 Sec. 8.4, SRIO-3028).	Sniff fieldbus traffic from an unauthorized vantage point and verify confidentiality controls or compensating protections.
STR-I-007	Device Network Configuration	PROFINET communication identity and network configuration (NameOfStation, IP suite, default gateway)	Information Disclosure	An attacker reads network configuration data for reconnaissance of the automation network topology.	Confidentiality	Network Attacker / Low	The fieldbussetup/network tree (including ipdefaultgateway) and DCP identity data are explicitly documented (209 line ~835).	Attempt unauthorized readout of network configuration values and verify access restriction.
STR-I-008	Device Tag	User-assigned application tag (devicetag/applicationtag) used for asset identification	Information Disclosure	An attacker reads the application tag to learn deployment context (e.g., factory/machine naming).	Confidentiality	Network Attacker / Low	The devicetag/applicationtag element and its example value are explicitly documented (SRIO-2955).	Attempt unauthorized readout of the devicetag value and verify access restriction.
STR-I-009	Error Log Data	Device error log content (ErrorEvents and Uptime) accessible via IoT Core	Information Disclosure	Unauthorized access to error-log details reveals internal failure modes and attack-relevant information.	Confidentiality	Network Attacker / Low	Error log content is documented as readable via IoT and understandable to users (SRIO-10662, SRIO-15221).	Attempt unauthorized error-log access and verify access restriction and data minimization.
STR-I-010	Device Status Data	Operational status and diagnostic telemetry (operating state, temperature, voltage, current, rotary switch reading)	Information Disclosure	An unauthorized party reads operating state and environmental telemetry to profile device conditions and plan attacks.	Confidentiality	Network Attacker / Medium	The devicestatus tree explicitly defines these fields as IoT-readable (SRIO-2950).	Attempt unauthorized readout of devicestatus values and verify access restriction.
STR-I-011	Device Identity Data	Device identity attributes (serial number, product code/name, vendor, hardware/software revisions, production date)	Information Disclosure	An attacker reads device identity data to target specific product/version combinations.	Confidentiality	Network Attacker / Low	The deviceinfo tree explicitly defines these fields as IoT-readable (SRIO-2946).	Attempt unauthorized readout of deviceinfo values and verify access restriction.
STR-I-012	I&M Data	PROFINET Identification & Maintenance records (I&M0-I&M4), including I&M4 safety CRC linkage	Information Disclosure	An attacker reads I&M records, including I&M4 safety CRC linkage data, to support crafting of a tampered safety parameter set.	Confidentiality	Network Attacker / Medium	I&M0-I&M4 records and the I&M4 F_iParCRC/F_ParCRC content are explicitly documented (209 Sec. 6.3.1.1, I&M4 description).	Attempt unauthorized access to I&M records and verify access restriction, particularly for I&M4 CRC content.
STR-I-013	Remanent/Persistent Data	Configuration, identity, and state data persisted in EEPROM and restored at startup	Information Disclosure	An attacker with physical or debug-level access extracts persisted configuration/identity/state data directly from EEPROM.	Confidentiality	Local Attacker / Expert	EEPROM is documented as the persistent-data storage restored at startup (209 Sec. 2.3.4.3-2.3.4.4, hardware table).	Attempt unauthorized extraction of EEPROM content and verify protection against direct storage-level disclosure.
STR-D-001	Firmware Image	COM and SCPU application firmware content and version, including update packages installed via IoT Core	Denial of Service	An attacker disrupts or corrupts the firmware update process, leaving the device unable to complete installation.	Availability	Network Attacker / Medium	A dedicated FW_UPDATE state handles the firmware update process (100 line 1552-1553); disruption during this state is a documented control point.	Disrupt the update process at various stages and verify safe recovery, rollback, or bounded retry behavior.
STR-D-002	Bootloader	COM and SCPU bootloader code responsible for controlled startup and firmware acceptance	Denial of Service	An attacker corrupts or interrupts bootloader operation via the debug/flashing interface, preventing device startup.	Availability	Local Attacker / Expert	SRIO-1374 documents a debug/firmware-flashing interface per controller that provides a direct path to bootloader disruption.	Attempt bootloader disruption via the debug/flashing interface and verify safe-state handling and recovery.
STR-D-003	PROFIsafe Safety Parameters	CRC-protected safety parameter set (F_WD_Time, F_Source_Add, F_iParCRC, F_ParCRC, and safety iParameters such as Filter Time, Symmetry, Discrepancy Time, Switch-off Delay)	Denial of Service	An attacker repeatedly submits invalid safety parameter sets, causing recurring channel/device passivation and preventing stable operation.	Availability, Integrity	Network Attacker / Medium	F_Passivation (Channel and Device granular) is the explicitly documented safety response to parameter/validation conditions (209 F-Parameter table, SRIO-14858, SRIO-14857).	Repeatedly submit invalid safety parameter sets and verify throttling/lockout controls and resilient recovery behavior.
STR-D-004	F-DI Process Data	Safety digital input process values exchanged via PROFIsafe/PROFINET	Denial of Service	An attacker floods or blocks communication, preventing timely delivery of safety input data.	Availability	Network Attacker / Medium	Overcurrent-triggered port shutdown and diagnosis behavior for inputs are explicitly documented (100 line 822).	Apply excessive/malformed traffic or fault conditions and verify graceful degradation, diagnostics, and safe-state handling.
STR-D-005	F-DO Process Data	Safety digital output command values exchanged via PROFIsafe/PROFINET	Denial of Service	An attacker repeatedly triggers documented single-output-failure/overcurrent shutdown behavior to keep outputs unavailable.	Availability	Local or Network Attacker / Medium	Single output failure switch-off and re-acknowledgement requirements are explicitly documented (100 lines 959-985).	Repeatedly trigger output fault conditions and verify bounded impact, controlled recovery, and no cascading failure.
STR-D-006	Device Network Configuration	PROFINET communication identity and network configuration (NameOfStation, IP suite, default gateway)	Denial of Service	An attacker issues unauthorized DCP reset commands that repeatedly clear communication parameters, causing loss of connectivity.	Availability	Network Attacker / Medium	DCP reset modes (Mode 1-9) explicitly reset communication parameters, engineering data, and in some modes installed software (209 lines 942-968).	Issue unauthorized DCP reset commands and verify strict authorization, controlled execution, and recovery behavior.
STR-D-007	Error Log Data	Device error log content (ErrorEvents and Uptime) accessible via IoT Core	Denial of Service	An attacker generates excessive fault/error events to fill the finite system log buffer, potentially evicting forensically relevant entries.	Availability, Accountability	Local or Network Attacker / Medium	A "system log buffer" for logged events is explicitly referenced (209 line ~358).	Generate a high rate of loggable events and verify bounded buffer handling and preservation of relevant entries.
STR-D-008	Device Status Data	Operational status and diagnostic telemetry (operating state, temperature, voltage, current, rotary switch reading)	Denial of Service	An attacker exhausts the limited number of concurrent HTTP connections, blocking legitimate access to status/diagnostic data.	Availability	Network Attacker / Medium	The device supports only incoming connections and limits active HTTP connections to two (SRIO-7908, SRIO-7909).	Open parallel sessions beyond the documented limit and verify controlled refusal and recovery of legitimate access.
STR-D-009	Remanent/Persistent Data	Configuration, identity, and state data persisted in EEPROM and restored at startup	Denial of Service	An attacker corrupts persisted data so that configuration/identity/state cannot be correctly restored after a power cycle or restart.	Availability	Cybersecurity Expert / Expert	The NVMEM Delegator explicitly supports "restoration of saved system states after power cycles or restarts" (209 Sec. 2.3.4.4).	Corrupt persisted data and verify detection, safe defaults, and controlled recovery behavior at next startup.
STR-E-001	Firmware Image	COM and SCPU application firmware content and version, including update packages installed via IoT Core	Elevation of Privilege	A user without firmware-update rights triggers installation of a firmware image.	Authorization, Integrity	Cybersecurity Expert / Expert	The IoT tree rights model explicitly distinguishes Read, Write, and Service rights for elements including /firmware (209 rights glossary, SRIO-2938).	Attempt firmware installation from a read-only/unprivileged context and verify strict authorization enforcement.
STR-E-002	Bootloader	COM and SCPU bootloader code responsible for controlled startup and firmware acceptance	Elevation of Privilege	An attacker uses the debug/flashing interface to obtain control beyond normal operational access rights.	Authorization, Integrity	Local Attacker / Expert	SRIO-1374 documents a debug/firmware-flashing interface per controller as a distinct, more privileged access path than normal operation.	Attempt privileged flashing operations from an unprivileged operational context and verify strict access control enforcement.
STR-E-003	F-Address	Configured own PROFIsafe safety address (F_Dest_Add) set via rotary switches, used for safety communication identity binding	Elevation of Privilege	An actor with only diagnostic/read access (e.g., rotary_switch status readout) escalates to modify the configured F-Address.	Authorization, Integrity	Cybersecurity Expert / Expert	The IoT/DCP model distinguishes read-only status elements from write-capable configuration paths (209 rights glossary; SRIO-2013).	Attempt F-Address modification from a read-only diagnostic context and verify strict authorization enforcement.
STR-E-004	PROFIsafe Safety Parameters	CRC-protected safety parameter set (F_WD_Time, F_Source_Add, F_iParCRC, F_ParCRC, and safety iParameters such as Filter Time, Symmetry, Discrepancy Time, Switch-off Delay)	Elevation of Privilege	An actor with diagnostic-only access escalates to safety-parameter write access via the engineering channel.	Authorization, Integrity	Cybersecurity Expert / Expert	Safety parameters are documented as changeable via engineering tools (209 table 6) distinct from read-only diagnostic elements in the rights model.	Attempt safety-parameter modification from a diagnostic-only context and verify strict authorization enforcement.
STR-E-005	Device Network Configuration	PROFINET communication identity and network configuration (NameOfStation, IP suite, default gateway)	Elevation of Privilege	An actor with read-only network visibility escalates to DCP write access over network configuration.	Authorization, Integrity	Network Attacker / Expert	DCP setting of IP/NameOfStation is documented as a controller/engineering function (SRIO-3029) distinct from read-only status/deviceinfo elements.	Attempt network configuration changes from a read-only context and verify strict authorization enforcement.
STR-S-011	Qualifier Data	RIOforFA channel qualifier bits bound to F-DI/F-DO process values	Spoofing	An attacker forges qualifier bits while presenting them as legitimate channel-validity information.	Authenticity, Integrity	Network Attacker / High	SRIO-3028 requires qualifier information to be synchronous and consistent with values, making authenticity of qualifier bits security-relevant.	Inject forged qualifier bits and verify acceptance is denied when source/authenticity checks fail.
STR-R-006	Bootloader	COM and SCPU bootloader code responsible for controlled startup and firmware acceptance	Repudiation	A technician denies having performed bootloader flashing via the documented debug/programming interface.	Accountability, Non-Repudiation	Service Personnel / Medium	SRIO-1374 documents a debug and firmware-flashing interface per controller; attributable records for flashing actions are not documented in provided artifacts.	Execute a bootloader flashing action and verify attributable, timestamped, tamper-evident audit evidence for the actor.
STR-R-007	Device Tag	User-assigned application tag (devicetag/applicationtag) used for asset identification	Repudiation	A user denies having changed the device application tag.	Accountability, Non-Repudiation	Authenticated User / Medium	The device tag is documented as read-write (SRIO-2955), but no explicit per-change attribution mechanism is documented.	Change the device tag and verify attributable logging of actor, time, previous value, and new value.
STR-I-014	Qualifier Data	RIOforFA channel qualifier bits bound to F-DI/F-DO process values	Information Disclosure	An attacker observes qualifier-bit patterns to infer channel health, fault handling behavior, and process-state confidence.	Confidentiality	Network Attacker / Medium	SRIO-3028 defines qualifier semantics as part of process channels, so unauthorized disclosure can reveal operational and diagnostic context.	Capture qualifier traffic from an unauthorized vantage point and verify confidentiality controls or compensating restrictions.
STR-D-010	F-Address	Configured own PROFIsafe safety address (F_Dest_Add) set via rotary switches, used for safety communication identity binding	Denial of Service	An attacker sets an incorrect/duplicated F-Address so safety communication fails or repeatedly passivates.	Availability	Local or Network Attacker / Medium	F_Dest_Add identity binding and rotary-switch based own-safe-address configuration are documented; mismatches disrupt safety communication establishment.	Apply incorrect or duplicate F-Address settings and verify diagnostics, rejection, and controlled recovery.
STR-D-011	Qualifier Data	RIOforFA channel qualifier bits bound to F-DI/F-DO process values	Denial of Service	An attacker manipulates or blocks qualifier bits to force repeated invalid-channel interpretation and loss of usable process data.	Availability	Network Attacker / Medium	SRIO-3028 requires valid Value/Qualifier consistency for RIOforFA channels; repeated qualifier invalidation can deny normal operation.	Disrupt qualifier delivery/consistency and verify bounded fail-safe behavior and robust recovery.
